DATE,ARRANCAPLUMAS,PUERTOSALGAR,PUERTOINMARCO,PUERTOBERRIO,BARRANCABERMEJA,PUERTOWILCHES,SANPABLO,GAMARRA,ELBANCO,MAGANGUEESPERANZA,PLATO,CALAMAR
14/04/2000,7.539277813,7.562,7.563914216,7.515433099,7.280321391,7.275435306,7.468768339,7.47352323,6.867545829,6.813298107,6.602629005,6.557477223
15/04/2000,9.765800865,10.32,10.47564251,10.43310459,9.819245509,8.971573873,9.07778924,9.05219199,8.577348079,7.778680892,7.63608522,7.595714485
16/04/2000,10.25393171,10.979,13.19286004,13.45749929,14.02161474,12.41126738,12.69584474,12.95149297,13.08759311,12.84750895,13.12904169,13.04390236
17/04/2000,4.747826625,4.646,4.596556045,4.608771272,5.281869758,5.443647612,5.434617889,5.391615094,6.159136459,6.151096895,6.01945533,5.96536095
18/04/2000,6.081580745,6.019,6.100999086,6.200799196,6.330807425,6.065391229,6.207794269,6.131009044,7.432819873,7.553903259,7.629022824,7.623464115
19/04/2000,4.113155949,4.992,9.266284073,9.371189197,9.689700437,9.146010107,9.159097234,9.27816006,8.431206829,7.991750601,7.778983199,7.708407348
20/04/2000,1.652813367,1.788,2.525149307,2.579444233,2.931820036,2.918701019,3.097384181,3.3349036,3.544685889,4.175120258,4.040665186,4.00324601
21/04/2000,1.374090992,1.555,3.645711453,3.755586663,4.86632924,5.818504882,6.008194427,7.14514644,7.092950012,7.927594307,7.868522432,7.882673599
22/04/2000,6.89529148,7.095,7.163672434,7.07548018,6.768096764,6.485944411,6.354305647,5.978704458,5.723202486,5.929289275,5.7965223,5.800337195
23/04/2000,4.227003008,4.144,4.462720151,4.599557824,5.530388922,5.944095576,6.08944386,6.06815927,7.129928943,8.058388527,7.89039901,7.817599823
24/04/2000,5.557493707,5.454,6.171996844,6.317516788,6.751975027,6.284246557,6.471515216,6.288817966,6.036455965,7.847037249,7.819014892,7.827576189
25/04/2000,3.915969864,3.907,4.482657555,4.477595162,4.502947848,4.267398892,4.169017296,3.911423251,3.167620823,3.211330489,3.11915746,3.09192891
26/04/2000,1.402412633,1.397,1.709363765,1.739039638,2.139982518,2.204105207,2.250742785,2.111941817,1.772545494,2.033555406,1.957403315,1.938513781
27/04/2000,1.016164407,1.03,1.870355706,2.281209194,3.378155168,3.787153503,3.882752756,3.64164403,3.14165808,3.095684791,2.980321388,2.952615639
28/04/2000,4.137501838,4.045,4.696841567,5.081463881,7.353214317,6.985953684,7.234306347,7.19432167,6.598015444,7.735364056,7.50111401,7.450775556
29/04/2000,1.731693154,1.873,3.078705104,3.166593311,3.995439454,4.280690341,4.690360315,4.801955023,4.596177212,4.239815411,4.176995112,4.145765103
30/04/2000,2.09811933,2.137,2.333736878,2.381748675,3.172366647,3.908304197,3.847768925,3.843662158,3.555017285,3.767083051,3.767974379,3.760383892
01/05/2000,6.342984755,6.396,6.787196677,6.784937399,6.888352199,6.571576292,6.436585752,6.547290557,6.833832488,6.846338702,6.747828997,6.711154225
02/05/2000,7.883431532,7.756,8.585022791,8.82825424,8.798524388,8.569312943,8.385854697,7.763041673,6.75691,5.789270351,5.825218097,5.820449708
03/05/2000,7.033190335,7.187,8.14620056,8.279652026,8.650965153,7.610529001,7.803703622,7.525884818,6.992111621,8.220683501,7.996069802,7.937060636
04/05/2000,3.221717738,3.268,3.392415157,3.555952544,3.958050138,3.850045895,4.042676691,3.980894041,5.052197473,5.44153667,5.3550456,5.355897712
05/05/2000,10.47104436,11.2,14.19164297,14.27494139,14.38823933,12.90644242,13.09545101,12.81335965,13.20727497,14.80298496,14.42432011,14.33088644
06/05/2000,3.463344447,3.407,4.063899697,4.195993794,5.102574884,4.988895991,5.051443065,4.907310254,5.277690885,6.958282773,6.860312358,6.862982632
07/05/2000,10.31438582,10.285,12.3844543,12.45250695,13.53131434,12.33223881,12.76883963,12.77968974,11.6550102,12.98803778,12.89192243,12.84864548
08/05/2000,2.825289398,2.841,2.949440637,3.010476605,2.968240702,3.323938343,3.322200677,3.2572629,3.185284078,3.806137084,3.721174207,3.69607591
09/05/2000,4.773091158,4.616,3.84448864,3.842639751,3.629305218,3.520506788,3.654480061,3.578263279,4.175226853,3.986807001,3.936491821,3.910981526
10/05/2000,3.200554784,3.122,3.609899413,4.045747878,5.008836799,6.197461464,6.303648332,6.535444013,8.895476509,8.035788182,8.837375484,9.082027065
11/05/2000,4.814639867,5.266,6.700042856,6.68972381,6.683236606,7.527943439,7.592793966,7.450040262,7.345410831,6.94934808,6.724077749,6.645640609
12/05/2000,2.643609721,2.762,4.777033754,5.060304807,5.30523631,5.036547425,5.024704516,5.028877901,6.698537312,7.316706237,7.340561065,7.392299701
13/05/2000,7.488730723,7.671,10.89198327,11.2339144,12.63674446,11.10784391,11.31651248,11.40560516,13.9942503,14.14083389,14.56060509,14.60673119
14/05/2000,14.47321241,14.486,14.83166574,14.73964417,14.79299736,13.78464084,14.13421853,14.09810423,13.94500333,12.28265421,11.95389187,11.84208233
15/05/2000,2.607571318,2.67,3.496138158,3.752273036,4.397311796,4.44677868,4.475709362,4.262221292,4.226423553,5.022468532,4.88620738,4.84626145
16/05/2000,4.572401365,4.898,7.51402572,7.737335865,9.135759342,8.624712901,9.106822149,8.814065236,7.777087671,9.811728097,9.491592455,9.426982714
17/05/2000,8.69837278,8.457,7.492550384,7.524220157,6.960680131,5.990800231,5.931188004,5.547228971,5.34293598,5.936022532,5.784225481,5.75043069
18/05/2000,13.62428134,14.195,16.515582,16.84611567,16.63700448,14.40115946,14.36380873,13.7853494,11.65004074,12.35362509,11.90761038,11.77446259
19/05/2000,7.329497529,7.389,9.266330086,9.736476589,10.65143591,9.544024604,9.754434375,9.93804315,11.26693077,11.2277342,11.01478183,10.97599283
20/05/2000,17.32773439,17.297,15.52688935,15.37595242,14.69733816,14.71756279,14.77638785,14.26146024,12.84379571,11.02599604,10.69476525,10.60450794
21/05/2000,5.825614365,6.151,6.2929125,6.198358468,5.796491759,5.203776071,5.135107653,4.744990112,5.121990395,6.106711355,5.997367853,5.989312217
22/05/2000,12.09026467,12.397,12.95335676,12.85249426,12.00971847,10.8083263,10.6953874,10.91843117,10.7004589,10.71700053,10.52561341,10.46930213
23/05/2000,5.636301359,5.459,4.66341231,4.718311481,4.628622292,4.048287896,4.120593648,4.437797853,5.199060635,6.403732741,6.359422013,6.316317151
24/05/2000,2.858254755,2.831,3.427984379,3.678207121,4.096989747,4.37466083,4.558908356,4.765255239,5.225960309,5.74966106,5.633082894,5.614758483
25/05/2000,2.266017334,2.267,4.852128144,4.990769781,5.509045534,5.498694664,5.503767631,5.403567612,5.181956941,6.197795092,6.058889754,6.004149629
26/05/2000,1.680815486,1.639,2.050421226,2.296412865,2.385785815,2.145872294,2.201467317,2.101815147,2.114441564,2.849162782,2.752389359,2.724301659
27/05/2000,6.32536558,6.291,8.818140089,9.280393268,12.04042606,10.57774994,11.21549358,10.6516736,9.083378495,10.12878633,9.855140263,9.736968661
28/05/2000,4.97776011,4.944,5.040213903,5.267437044,5.531934403,5.096986381,5.092586042,4.979793067,5.876891622,5.940877276,6.327405391,6.363464536
29/05/2000,6.450751604,7.268,12.04947885,12.50410059,12.81238502,11.79480821,11.8453607,12.10592471,12.1643038,12.57049408,12.40939629,12.31062162
30/05/2000,5.991471108,6.123,5.833362695,5.772317323,6.014618511,6.546564621,6.894552361,8.006817207,10.89189461,12.96274304,12.96666922,12.89892247
31/05/2000,5.544564247,5.867,6.993504378,7.134844225,6.875318196,6.350865778,6.445086201,6.104200703,5.32634419,6.138569259,6.113282124,6.096072231
01/06/2000,2.382714074,2.674,5.324109082,5.789227399,8.125833761,8.116630614,8.958452922,8.958747526,7.778644126,10.45146275,10.13671294,10.1124004
02/06/2000,0.524915253,0.617,0.746076785,0.744676165,0.757125018,0.717006622,0.737319564,0.797594942,1.002202329,2.331640197,2.292600985,2.280188823
03/06/2000,0.835154684,0.935,2.619311983,2.74734481,3.411386467,3.098599402,3.304618978,3.090686916,2.692278857,4.81189062,4.637420455,4.594320872
04/06/2000,4.412753701,4.398,5.165210732,5.466501462,6.030286317,5.296513858,5.405617197,5.099640864,4.739896831,4.915796066,5.013441963,5.040968929
05/06/2000,1.279491987,1.263,1.277980502,1.339569688,2.296896017,3.788179001,3.748409346,3.659630241,3.484559473,3.718636432,3.691257742,3.705279439
06/06/2000,5.759293318,6.213,7.063710393,7.109697285,7.544452868,7.682099855,7.93235207,8.526815835,9.348012325,11.53163796,12.12681249,12.16661047
07/06/2000,7.828484513,7.794,7.399968075,7.292189115,7.002307105,7.166153103,6.998594848,6.581072128,6.670847276,6.138824398,6.088967476,6.049304328
08/06/2000,5.54708941,5.966,5.942035282,5.876913975,5.751402797,5.682879726,5.553919009,5.439115571,5.590701637,5.332500037,5.763794266,5.771972946
09/06/2000,2.565769093,2.65,3.393046222,3.495058644,4.46011792,5.64934632,5.681243559,5.90262272,5.913199869,6.683468979,6.735013017,6.723682408
10/06/2000,1.655107693,1.805,2.372574304,2.412563212,2.68664891,2.754418513,2.716428362,2.606551286,2.351367188,3.015517018,2.938356927,2.919745405
11/06/2000,1.881819964,1.831,2.052745846,2.092730548,2.595557335,2.568814301,2.830964379,2.697514031,2.480843789,4.080906576,3.95144087,3.91060909
12/06/2000,2.716232267,2.69,3.652748451,3.786760785,4.331334235,4.133165067,4.213398513,4.079211199,4.323522237,4.86233166,4.910539341,4.890737218
13/06/2000,3.446012066,3.781,5.5171344,5.743086083,6.734705821,6.765863474,6.95900804,6.875947919,6.731711408,7.255858471,7.247525462,7.234811752
14/06/2000,7.125476576,7.268,8.117499262,8.247466517,8.579930465,7.815963159,8.28988892,8.904212222,9.308234368,9.884613504,9.701019309,9.590423274
15/06/2000,7.331562345,7.514,9.12607011,9.229635716,9.02620889,7.826050456,7.878596386,7.329372084,6.165469271,6.529020321,6.27849148,6.195842889
16/06/2000,10.56258235,10.602,12.3694267,12.42823506,12.19958389,10.62658467,10.89736003,11.04328747,10.1676546,13.32559782,12.96692616,12.84958923
17/06/2000,4.105807686,4.402,7.717307363,8.055611148,8.391243734,7.598733792,7.77751722,7.385826839,7.408712029,8.260786089,8.127714301,8.062648961
18/06/2000,2.283395569,2.272,3.03016047,3.178962033,3.835352133,4.681239591,4.703851286,4.529438459,4.375271949,5.0178479,5.032652477,5.125941528
19/06/2000,2.101986487,2.062,1.915437535,1.887922769,1.775645669,1.543847123,1.53005052,1.423530336,1.341700114,2.389855668,2.306090301,2.280437951
20/06/2000,1.303214584,1.391,3.113788996,3.171504435,3.20470057,2.992496742,3.04992795,3.337149936,2.848524461,4.16916618,4.025787495,3.975896279
21/06/2000,3.846081824,3.998,5.267108894,5.385462206,6.507383803,6.320719127,6.595767255,6.362361607,5.886629995,7.752126547,7.711199437,7.659738703
22/06/2000,6.02263116,6.482,8.41603944,8.413770621,8.299434415,7.631905299,7.859902377,8.373075994,8.171714634,10.82658847,10.84434501,10.82240993
23/06/2000,9.357481652,10.149,12.26096824,12.25495409,12.49963009,11.94005018,12.2336854,12.94489295,17.06471104,20.7254296,21.87981414,21.95479759
